id,search_query,annotation
0,aa,O
1,aala,O
2,aarcca,O
3,abon,O
4,abso,B-BRAND
5,abtoys игруш,B-BRAND B-TYPE
6,abtoys игрушк,B-BRAND B-TYPE
7,abtoys игрушки,B-BRAND B-TYPE
8,acofe,O
9,actimal,B-BRAND
10,actimel,B-BRAND
11,actimeuno,B-BRAND
12,actimino,B-BRAND
13,actimun,B-BRAND
14,actimunno,B-BRAND
15,activ,B-BRAND
16,activa,B-BRAND
17,active,B-BRAND
18,adremaine,B-BRAND
19,adren,B-BRAND
20,adrena,B-BRAND
21,adrenali,B-BRAND
22,adrinalin,B-BRAND
23,adrinaline,B-BRAND
24,afanasiy пи,B-BRAND B-TYPE
25,afanasiy пив,B-BRAND B-TYPE
26,afanasiy пиво,B-BRAND B-TYPE
27,agama треск,B-BRAND B-TYPE
28,agama треска,B-BRAND B-TYPE
29,agata,B-BRAND
30,agnesi пше,B-BRAND B-TYPE
31,agnesi пшен,B-BRAND B-TYPE
32,ahma,B-BRAND
33,ahmad,B-BRAND
34,ahmad tea,B-BRAND I-BRAND
35,ailtero,B-BRAND
36,airw,B-BRAND
37,akba,B-BRAND
38,akmad,B-BRAND
39,aktime,B-BRAND
40,aktimel,B-BRAND
41,aktimuno,B-BRAND
42,albeni,B-BRAND
43,albenia,B-BRAND
44,alen,B-BRAND
45,alie,B-BRAND
46,allen,B-BRAND
47,almak,B-BRAND
48,alme,B-BRAND
49,almeta,B-BRAND
50,almeto,B-BRAND
51,almett,B-BRAND
52,almetta,B-BRAND
53,almette,B-BRAND
54,almond,B-TYPE
55,aloe,B-TYPE
56,alp,B-BRAND
57,alpe,B-BRAND
58,alpeland,B-BRAND
59,alpen,B-BRAND
60,alpen gold max,B-BRAND I-BRAND I-BRAND
61,alpen gold max fun,B-BRAND I-BRAND I-BRAND I-BRAND
62,alpeni,B-BRAND
63,alpenl,B-BRAND
64,alpenla,B-BRAND
65,alpenland,B-BRAND
66,alphapet,B-BRAND
67,alpin gold he,B-BRAND I-BRAND O
68,alte,B-BRAND
69,altera,B-BRAND
70,altero,B-BRAND
71,always,B-BRAND
72,alweys,B-BRAND
73,am,O
74,amare,B-BRAND
75,ambassado,B-BRAND
76,amore форели,B-BRAND B-TYPE
77,anikers,B-BRAND
78,aoba,O
79,aos,B-BRAND
80,aotime,O
81,apica,B-BRAND
82,aplen,B-BRAND
83,aplpen,B-BRAND
84,apollo дома,B-BRAND O
85,apollo салатни,B-BRAND B-TYPE
86,apollo салатник,B-BRAND B-TYPE
87,apollo салатники,B-BRAND B-TYPE
88,applika облож,B-BRAND B-TYPE
89,applika обложк,B-BRAND B-TYPE
90,apte ботин,B-BRAND B-TYPE
91,apte ботинк,B-BRAND B-TYPE
92,apy ople,O O
93,aqua,B-BRAND
94,aquafres,B-BRAND
95,aquafresh,B-BRAND
96,aquaftesh,B-BRAND
97,aqva,B-TYPE
98,arcopal салатни,B-BRAND B-TYPE
99,arcopal салатники,B-BRAND B-TYPE
100,arctic,B-BRAND
101,arctik,B-BRAND
102,are mio,O O
103,arelin,O
104,argeta,B-BRAND
105,ari,B-BRAND
106,arie,B-BRAND
107,ariel без,B-BRAND O
108,arielm,B-BRAND
109,arivali,B-BRAND
110,arivari,B-BRAND
111,arkhangel'skkhleb баг,B-BRAND B-TYPE
112,arkhangel'skkhleb баге,B-BRAND B-TYPE
113,arkhangel'skkhleb багет,B-BRAND B-TYPE
114,arko,B-BRAND
115,arln,O
116,aro,B-BRAND
117,aroma,B-TYPE
118,aroy,B-BRAND
119,art,B-BRAND
120,artfruit бат,B-BRAND B-TYPE
121,artfruit бата,B-BRAND B-TYPE
122,artfruit батат,B-BRAND B-TYPE
123,artfruit виногр,B-BRAND B-TYPE
124,artfruit виногра,B-BRAND B-TYPE
125,artfruit виноград,B-BRAND B-TYPE
126,artfruit виш,B-BRAND B-TYPE
127,artfruit вишн,B-BRAND B-TYPE
128,artfruit вишня,B-BRAND B-TYPE
129,artfruit голубик,B-BRAND B-TYPE
130,artfruit голубика,B-BRAND B-TYPE
131,artfruit гру,B-BRAND B-TYPE
132,artfruit груш,B-BRAND B-TYPE
133,artfruit груша,B-BRAND B-TYPE
134,artfruit груши,B-BRAND B-TYPE
135,artfruit клубни,B-BRAND B-TYPE
136,artfruit клубника,B-BRAND B-TYPE
137,artfruit крыжовн,B-BRAND B-TYPE
138,artfruit ла,B-BRAND O
139,artfruit лай,B-BRAND B-TYPE
140,artfruit лайм,B-BRAND B-TYPE
141,artfruit мали,B-BRAND B-TYPE
142,artfruit малин,B-BRAND B-TYPE
143,artfruit малины,B-BRAND B-TYPE
144,artfruit ман,B-BRAND B-TYPE
145,artfruit манг,B-BRAND B-TYPE
146,artfruit мандар,B-BRAND B-TYPE
147,artfruit мандари,B-BRAND B-TYPE
148,artfruit мандарин,B-BRAND B-TYPE
149,artfruit нектар,B-BRAND B-TYPE
150,artfruit нектари,B-BRAND B-TYPE
151,artfruit нектарин,B-BRAND B-TYPE
152,artfruit нектарины,B-BRAND B-TYPE
153,artfruit смородин,B-BRAND B-TYPE
154,artfruit смородинк,B-BRAND B-TYPE
155,artfruit спар,B-BRAND B-TYPE
156,artfruit спарж,B-BRAND B-TYPE
157,artfruit спаржа,B-BRAND B-TYPE
158,artfruit фейхо,B-BRAND B-TYPE
159,artfruit фейхоа,B-BRAND B-TYPE
160,arts&crafts спич,B-BRAND B-TYPE
161,arts&crafts спичк,B-BRAND B-TYPE
162,arts&crafts спички,B-BRAND B-TYPE
163,asileorovskoe,O
164,assamd,B-TYPE
165,assan,B-BRAND
166,assand,B-BRAND
167,astoria,B-BRAND
168,atlantic плав,B-BRAND B-TYPE
169,atlantic плавк,B-BRAND B-TYPE
170,atlantic тру,B-BRAND B-TYPE
171,attache бум,B-BRAND B-TYPE
172,attache бума,B-BRAND B-TYPE
173,attache бумаг,B-BRAND B-TYPE
174,attache калькулят,B-BRAND B-TYPE
175,au,B-BRAND
176,aunfed,O
177,aura,B-BRAND
178,aurae,B-BRAND
179,avyanka,O
180,award например,B-BRAND O
181,axe,B-BRAND
182,axe тверд,B-BRAND B-TYPE
183,axe тверды,B-BRAND B-TYPE
184,axe твердый,B-BRAND B-TYPE
185,ayola,O
